timestamp,date,time,hour,accident_type,accident_id,lane,vehicle_ids,vehicle_count,duration,emergency_notified,location_x,location_y
2026-02-15T14:29:58.403952,2026-02-15,14:29:58,14,COLLISION,1,LANE2,"1,18",2,3.24,Yes,531,696
2026-02-15T15:27:40.050639,2026-02-15,15:27:40,15,COLLISION,1,LANE3,"6,7",2,0.0,Yes,808,364
2026-02-15T15:27:43.940745,2026-02-15,15:27:43,15,COLLISION,2,LANE3,"9,11",2,0.0,Yes,797,363
2026-02-15T15:27:44.275534,2026-02-15,15:27:44,15,COLLISION,3,LANE2,"10,12",2,0.0,Yes,678,506
2026-02-15T15:27:44.611780,2026-02-15,15:27:44,15,COLLISION,4,LANE2,"13,14",2,0.0,Yes,682,644
2026-02-15T15:27:46.627413,2026-02-15,15:27:46,15,COLLISION,5,LANE2,"1,17",2,0.0,Yes,531,570
2026-02-15T15:27:46.627441,2026-02-15,15:27:46,15,COLLISION,6,LANE2,"2,17",2,0.01,Yes,530,499
2026-02-15T15:29:14.564412,2026-02-15,15:29:14,15,COLLISION,7,LANE2,"44,54",2,0.0,Yes,560,615
2026-02-15T15:29:22.373782,2026-02-15,15:29:22,15,COLLISION,8,LANE3,"58,59",2,0.0,Yes,979,374
2026-02-15T15:29:22.933367,2026-02-15,15:29:22,15,COLLISION,9,LANE2,"57,60",2,0.0,Yes,682,684
2026-02-15T15:29:22.933381,2026-02-15,15:29:22,15,COLLISION,10,LANE2,"57,61",2,0.01,Yes,627,673
2026-02-15T15:29:23.383260,2026-02-15,15:29:23,15,COLLISION,11,LANE4,"3,63",2,0.0,Yes,374,383
2026-02-15T15:29:24.710476,2026-02-15,15:29:24,15,COLLISION,12,LANE3,"66,68",2,0.0,Yes,740,360
2026-02-15T15:29:25.046692,2026-02-15,15:29:25,15,COLLISION,13,LANE3,"74,75",2,0.0,Yes,855,267
2026-02-15T15:29:28.053537,2026-02-15,15:29:28,15,COLLISION,14,LANE4,"77,78",2,0.0,Yes,343,361
2026-02-15T15:29:31.286425,2026-02-15,15:29:31,15,COLLISION,15,LANE2,"81,82",2,0.0,Yes,677,644
2026-02-15T15:29:58.004471,2026-02-15,15:29:58,15,COLLISION,1,LANE4,"5,7",2,0.0,Yes,280,359
2026-02-15T15:29:58.546518,2026-02-15,15:29:58,15,COLLISION,2,LANE3,"8,9",2,0.0,Yes,799,363
